ego_aid,corrected_first_pub_year,correction_date
A5015290549,1964.0,2025-07-20 22:01:46
A5015787795,,2025-07-20 22:01:46
A5023858070,1982.0,2025-07-20 22:01:46
A5031362021,,2025-07-20 22:01:46
A5075679004,,2025-07-20 22:01:46
A5076884495,,2025-07-20 22:01:46
A5081119848,1974.0,2025-07-20 22:01:46
A5103217263,1970.0,2025-07-20 22:01:46
A5113979503,,2025-07-20 22:01:46
A5010447871,,2025-07-20 22:01:46
A5079420042,1990.0,2025-07-20 22:01:46
A5089338889,1972.0,2025-07-20 22:01:46
A5108425548,2000.0,2025-07-20 22:01:46
A5010618664,,2025-07-20 22:01:46
A5013564199,,2025-07-20 22:01:46
A5062036186,1996.0,2025-07-20 22:01:46
A5103091290,1987.0,2025-07-20 22:01:46
A5061416701,,2025-07-20 22:01:46
A5005007403,,2025-07-20 22:01:46
A5070636215,,2025-07-20 22:01:46
A5078241836,,2025-07-20 22:01:46
A5078348998,,2025-07-20 22:01:46
A5069169252,,2025-07-20 22:01:46
A5047529025,,2025-07-20 22:01:46
A5042669945,2016.0,2025-07-20 22:01:46
A5065232848,,2025-07-20 22:01:46
A5087008416,,2025-07-20 22:01:46
A5041501487,,2025-07-20 22:01:46
A5068443321,,2025-07-20 22:01:46
A5045510214,,2025-07-20 22:01:46
A5101658762,,2025-07-20 22:01:46
A5007986837,,2025-07-20 22:01:46
A5071657531,,2025-07-20 22:01:46
A5112328275,,2025-07-20 22:01:46
A5048908501,,2025-07-20 22:01:46
A5001453478,,2025-07-20 22:01:46
A5035579449,,2025-07-20 22:01:46
A5073737205,,2025-07-20 22:01:46
A5023718239,,2025-07-20 22:01:46
A5075054295,,2025-07-20 22:01:46
A5076146366,1999.0,2025-07-20 22:01:46
A5085232359,,2025-07-20 22:01:46
A5087721092,,2025-07-20 22:01:46
