department,college,category,inst_ipeds_id,year
Biology,College of Arts and Sciences,Biological Sciences,231174,2023
Psychological Science,College of Arts and Sciences,Psychological Science,231174,2023
Mathematics and Statistics,College of Engineering and Mathematical Sciences,Mathematical Sciences,231174,2023
Community Development and Applied Economics,College of Agriculture and Life Sciences,Social Sciences,231174,2023
"Agriculture, Landscape, and Environment",College of Agriculture and Life Sciences,,231174,2023
Communication Sciences and Disorders,College of Nursing and Health Sciences,Psychological Science,231174,2023
Surgery,Larner College of Medicine,Medical Sciences,231174,2023
Electrical and Biomedical Engineering,College of Engineering and Mathematical Sciences,Computer Science,231174,2023
Philosophy,College of Arts and Sciences,Humanities,231174,2023
Civil and Environmental Engineering,College of Engineering and Mathematical Sciences,Engineering,231174,2023
Medicine,Larner College of Medicine,Medical Sciences,231174,2023
Rubenstein School of Environment and Natural Resources,Rubenstein School of Environment and Natural Resources,Earth Science,231174,2023
French and Italian,College of Arts and Sciences,Language,231174,2023
Education,College of Education and Social Services,,231174,2023
Microbiology and Molecular Genetics,College of Agriculture and Life Sciences,Biological Sciences,231174,2023
Anthropology,College of Arts and Sciences,Social Sciences,231174,2023
Economics,College of Arts and Sciences,Social Sciences,231174,2023
Geography and Geosciences,College of Arts and Sciences,Earth Science,231174,2023
Grossman School of Business,Grossman School of Business,Business,231174,2023
English,College of Arts and Sciences,Humanities,231174,2023
Classics,College of Arts and Sciences,Humanities,231174,2023
Nutrition and Food Sciences,College of Agriculture and Life Sciences,Agriculture,231174,2023
"Counseling, Human Development and Family Science",College of Education and Social Services,,231174,2023
Psychiatry,Larner College of Medicine,Medical Sciences,231174,2023
Computer Science,College of Engineering and Mathematical Sciences,Computer Science,231174,2023
Pathology and Laboratory Medicine,Larner College of Medicine,Medical Sciences,231174,2023
"Obstetrics, Gynecology and Reproductive Sciences",Larner College of Medicine,Medical Sciences,231174,2023
Physics,College of Engineering and Mathematical Sciences,Physical Science,231174,2023
Biomedical and Health Sciences,College of Nursing and Health Sciences,Medical Sciences,231174,2023
Political Science,College of Arts and Sciences,Social Sciences,231174,2023
Biochemistry,College of Agriculture and Life Sciences,Chemical Science,231174,2023
Rehabilitation and Movement Science,College of Nursing and Health Sciences,Health,231174,2023
Pharmacology,Larner College of Medicine,Medical Sciences,231174,2023
Chemistry,College of Arts and Sciences,Physical Science,231174,2023
Orthopaedics and Rehabilitation,College of Nursing and Health Sciences,,231174,2023
Sociology,College of Arts and Sciences,Social Sciences,231174,2023
Religion,College of Arts and Sciences,,231174,2023
Molecular Physiology and Biophysics,Larner College of Medicine,Health,231174,2023
Social Work,College of Education and Social Services,,231174,2023
Plant Biology,College of Agriculture and Life Sciences,Biological Sciences,231174,2023
Animal and Veterinary Sciences,College of Agriculture and Life Sciences,,231174,2023
Neurological Sciences,Larner College of Medicine,,231174,2023
Mechanical Engineering,College of Engineering and Mathematical Sciences,Engineering,231174,2023
Emergency Medicine,Larner College of Medicine,,231174,2023
Pediatrics,Larner College of Medicine,,231174,2023
Anesthesiology,Larner College of Medicine,Medical Sciences,231174,2023
Family Medicine,Larner College of Medicine,Medical Sciences,231174,2023
Theatre and Dance,College of Arts and Sciences,,231174,2023
Art and Art History,College of Arts and Sciences,,231174,2023
Linguistics,College of Arts and Sciences,Humanities,231174,2023
History,College of Arts and Sciences,Humanities,231174,2023
Spanish,College of Arts and Sciences,,231174,2023
Music,College of Arts and Sciences,,231174,2023
East Asian Languages and Literatures,College of Arts and Sciences,,231174,2023
Nursing,College of Nursing and Health Sciences,,231174,2023
"German, Russian, and Hebrew",College of Arts and Sciences,,231174,2023
Radiology,Larner College of Medicine,,231174,2023
